image_key,output_txt,num_chars
61D5886E-E199-42C0-AC04-F67F10A5E3F2_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/61D5886E-E199-42C0-AC04-F67F10A5E3F2_1_105_c.txt,493
644DE9DD-2DFF-450D-B170-164693D540D0_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/644DE9DD-2DFF-450D-B170-164693D540D0_1_105_c.txt,1601
7D855EF9-A642-46D0-81DA-E491716E6BDB_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/7D855EF9-A642-46D0-81DA-E491716E6BDB_1_105_c.txt,256
8BB78300-8E66-46C4-BFC0-0E13553D45D6_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/8BB78300-8E66-46C4-BFC0-0E13553D45D6_1_105_c.txt,1459
A293F07E-DF59-4E81-83D0-EAEEC662420F_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/A293F07E-DF59-4E81-83D0-EAEEC662420F_1_105_c.txt,524
BF344226-C7AC-4D47-81EA-5BE1FE732BB5_1_102_a,Parsed_RealWorld_CRAFT_TrOCR/BF344226-C7AC-4D47-81EA-5BE1FE732BB5_1_102_a.txt,372
D27A69E5-1C23-4EA4-93A0-93CA9370E27F_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/D27A69E5-1C23-4EA4-93A0-93CA9370E27F_1_105_c.txt,103
D725BD67-7E04-4DB0-8FA4-8C4890A4E2B8_1_105_c,Parsed_RealWorld_CRAFT_TrOCR/D725BD67-7E04-4DB0-8FA4-8C4890A4E2B8_1_105_c.txt,503
IMG_0738,Parsed_RealWorld_CRAFT_TrOCR/IMG_0738.txt,123
IMG_2335,Parsed_RealWorld_CRAFT_TrOCR/IMG_2335.txt,1226
